Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,Num of Occurrences per step(descending),Average time spends per step(descending),average time for workflow segment(seconds),sum time for workflow segment(seconds)
11,73,22 days 13 hours 21 minutes 55 seconds,16.0 days 5.0 hours 37.0 minutes 20.0 seconds,94.52%,"[('AR - Satisfied - previous or current study', 107), ('Submit', 74), ('Send for Assessment', 69), ('AR - Satisfied - ELR', 53), ('AR - Satisfied - advanced standing', 50), ('Put Triage On-Hold', 41)]","[('Submit', '6.0 days 8.0 hours 44.0 minutes 40.0 seconds'), ('Assessment Decision - No Decision', '3.0 days 6.0 hours 41.0 minutes 13.0 seconds'), ('Assessment Decision - Not Qualified', '13.0 days 1.0 hours 0.0 minutes 33.0 seconds'), ('Put Triage On-Hold', '10.0 days 8.0 hours 31.0 minutes 27.0 seconds'), ('AR - Satisfied - advanced standing', '1.0 days 18.0 hours 51.0 minutes 44.0 seconds'), ('AR - Created - further information', '1.0 days 16.0 hours 17.0 minutes 15.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 4.0 hours 35.0 minutes 40.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 21.0 hours 1.0 minutes 40.0 seconds'), ('AR - Created - Other', '0.0 days 2.0 hours 34.0 minutes 0.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 16.0 hours 13.0 minutes 26.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 13.0 hours 50.0 minutes 13.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 1.0 hours 23.0 minutes 55.0 seconds'), ('OC - Created - Other', '0.0 days 1.0 hours 18.0 minutes 7.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 9.0 minutes 18.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 5.0 minutes 56.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 4.0 minutes 7.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 22.0 minutes 23.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 2.0 minutes 20.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 1.0 minutes 49.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 1.0 minutes 32.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('OC - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Not Satisfied - previous or current study', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 28.0 seconds'), ('AR - Satisfied - guaranteed entry', '0.0 days 0.0 hours 0.0 minutes 28.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 27.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 25.0 seconds'), ('OC - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 18.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 16.0 seconds'), ('OC - Created - further information', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('AR - Satisfied - agent', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds')]",1948915,142270848.0
12,55,25 days 19 hours 29 minutes 52 seconds,18.0 days 3.0 hours 24.0 minutes 58.0 seconds,90.91%,"[('AR - Satisfied - previous or current study', 72), ('Submit', 55), ('Send for Assessment', 50), ('AR - Satisfied - specialisation', 39), ('AR - Satisfied - entry points', 36), ('Put Triage On-Hold', 33)]","[('Put Triage On-Hold', '8.0 days 23.0 hours 55.0 minutes 41.0 seconds'), ('Assessment Decision - Qualified', '8.0 days 13.0 hours 25.0 minutes 21.0 seconds'), ('AR - Reviewed - ELR', '5.0 days 20.0 hours 18.0 minutes 56.0 seconds'), ('Submit', '11.0 days 20.0 hours 13.0 minutes 55.0 seconds'), ('AR - Satisfied - entry points', '1.0 days 9.0 hours 18.0 minutes 13.0 seconds'), ('AR - Reviewed - application details', '0.0 days 23.0 hours 28.0 minutes 31.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 2.0 hours 29.0 minutes 40.0 seconds'), ('AR - Created - previous or current study', '0.0 days 11.0 hours 0.0 minutes 12.0 seconds'), ('AR - Satisfied - application details', '0.0 days 1.0 hours 31.0 minutes 50.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 7.0 minutes 3.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 51.0 minutes 44.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 33.0 minutes 16.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 3.0 minutes 16.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 2.0 minutes 8.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 2.0 minutes 53.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 2.0 minutes 40.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 2.0 minutes 32.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 2.0 minutes 19.0 seconds'), ('AR - Created - specialisation', '0.0 days 0.0 hours 13.0 minutes 59.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 1.0 minutes 9.0 seconds'), ('OC - Created - ELR', '0.0 days 0.0 hours 1.0 minutes 46.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 1.0 minutes 43.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 1.0 minutes 38.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 1.0 minutes 33.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 1.0 minutes 23.0 seconds'), ('AR - Reviewed - syllabus', '0.0 days 0.0 hours 1.0 minutes 16.0 seconds'), ('AR - Requested - ELR', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Created - syllabus', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 0.0 minutes 54.0 seconds'), ('AR - Satisfied - guaranteed entry', '0.0 days 0.0 hours 0.0 minutes 4.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 31.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 0.0 minutes 24.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds')]",2230192,122660575.0
13,41,31 days 8 hours 55 minutes 19 seconds,22.0 days 0.0 hours 26.0 minutes 8.0 seconds,85.37%,"[('AR - Satisfied - previous or current study', 58), ('Submit', 41), ('Send for Assessment', 35), ('AR - Satisfied - specialisation', 33), ('AR - Satisfied - entry points', 32), ('Put Triage On-Hold', 28)]","[('Put Triage On-Hold', '7.0 days 14.0 hours 40.0 minutes 37.0 seconds'), ('Assessment Decision - No Decision', '4.0 days 12.0 hours 2.0 minutes 12.0 seconds'), ('OC - Created - Other', '2.0 days 14.0 hours 0.0 minutes 19.0 seconds'), ('AR - Requested - further information', '16.0 days 15.0 hours 2.0 minutes 36.0 seconds'), ('Submit', '10.0 days 0.0 hours 20.0 minutes 10.0 seconds'), ('Assessment Decision - Qualified', '1.0 days 15.0 hours 22.0 minutes 54.0 seconds'), ('AR - Satisfied - entry points', '1.0 days 13.0 hours 26.0 minutes 11.0 seconds'), ('Release Triage Hold', '1.0 days 11.0 hours 36.0 minutes 20.0 seconds'), ('AR - Created - previous or current study', '0.0 days 20.0 hours 52.0 minutes 22.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 16.0 hours 54.0 minutes 6.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 11.0 hours 0.0 minutes 52.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 10.0 hours 15.0 minutes 17.0 seconds'), ('AR - Satisfied - further information', '0.0 days 1.0 hours 20.0 minutes 14.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 7.0 minutes 9.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 5.0 minutes 56.0 seconds'), ('AR - Satisfied - guaranteed entry', '0.0 days 0.0 hours 4.0 minutes 57.0 seconds'), ('AR - Reviewed - advanced standing', '0.0 days 0.0 hours 30.0 minutes 26.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 3.0 minutes 4.0 seconds'), ('OC - Satisfied - Other', '0.0 days 0.0 hours 23.0 minutes 58.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 2.0 minutes 22.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 13.0 minutes 40.0 seconds'), ('AR - Not Satisfied - syllabus', '0.0 days 0.0 hours 1.0 minutes 7.0 seconds'), ('AR - Created - specialisation', '0.0 days 0.0 hours 1.0 minutes 25.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 1.0 minutes 22.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 1.0 minutes 19.0 seconds'), ('AR - Satisfied - agent', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 42.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 4.0 seconds'), ('AR - Reviewed - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 0.0 minutes 30.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds')]",2710519,111131300.0
14,27,28 days 19 hours 29 minutes 14 seconds,21.0 days 15.0 hours 19.0 minutes 21.0 seconds,88.89%,"[('AR - Satisfied - previous or current study', 39), ('Submit', 27), ('Send for Assessment', 24), ('AR - Created - Other', 21), ('Put Triage On-Hold', 20), ('AR - Satisfied - specialisation', 19)]","[('Put Triage On-Hold', '8.0 days 8.0 hours 5.0 minutes 17.0 seconds'), ('AR - Created - entry points', '5.0 days 19.0 hours 41.0 minutes 14.0 seconds'), ('AR - Reviewed - application details', '23.0 days 22.0 hours 43.0 minutes 30.0 seconds'), ('Submit', '14.0 days 11.0 hours 30.0 minutes 58.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 16.0 hours 10.0 minutes 53.0 seconds'), ('OC - Created - Other', '0.0 days 8.0 hours 11.0 minutes 47.0 seconds'), ('Release Triage Hold', '0.0 days 19.0 hours 48.0 minutes 23.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 17.0 hours 26.0 minutes 50.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 8.0 minutes 36.0 seconds'), ('AR - Satisfied - work experience', '0.0 days 0.0 hours 4.0 minutes 51.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 4.0 minutes 1.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 3.0 minutes 38.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 3.0 minutes 10.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 2.0 minutes 8.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 2.0 minutes 49.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 19.0 minutes 26.0 seconds'), ('AR - Created - specialisation', '0.0 days 0.0 hours 1.0 minutes 52.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 1.0 minutes 45.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 1.0 minutes 42.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 1.0 minutes 4.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 1.0 minutes 3.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 1.0 minutes 26.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 1.0 minutes 22.0 seconds'), ('AR - Satisfied - guaranteed entry', '0.0 days 0.0 hours 1.0 minutes 0.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 0.0 minutes 56.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 0.0 minutes 54.0 seconds'), ('AR - Requested - Other', '0.0 days 0.0 hours 0.0 minutes 44.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 0.0 minutes 41.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 0.0 minutes 39.0 seconds'), ('OC - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 30.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 0.0 minutes 29.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 29.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 0.0 minutes 28.0 seconds'), ('AR - Created - work experience', '0.0 days 0.0 hours 0.0 minutes 25.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 17.0 seconds')]",2489354,67212571.0
15,14,19 days 17 hours 9 minutes 50 seconds,16.0 days 19.0 hours 52.0 minutes 1.5 seconds,64.29%,"[('AR - Created - Other', 19), ('Put Triage On-Hold', 15), ('Submit', 14), ('Release Triage Hold', 13), ('AR - Satisfied - previous or current study', 12), ('AR - Created - further information', 12)]","[('Put Triage On-Hold', '6.0 days 19.0 hours 51.0 minutes 34.0 seconds'), ('Assessment Decision - No Decision', '4.0 days 15.0 hours 21.0 minutes 36.0 seconds'), ('Submit', '10.0 days 15.0 hours 31.0 minutes 46.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 12.0 hours 47.0 minutes 30.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 7.0 minutes 34.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 4.0 minutes 16.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 3.0 minutes 46.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 26.0 minutes 5.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 18.0 minutes 4.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 11.0 minutes 24.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 1.0 minutes 7.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 1.0 minutes 38.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 1.0 minutes 38.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 1.0 minutes 28.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 1.0 minutes 18.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 1.0 minutes 17.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 0.0 minutes 54.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 53.0 seconds'), ('AR - Created - syllabus', '0.0 days 0.0 hours 0.0 minutes 43.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 0.0 minutes 40.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 4.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 0.0 minutes 34.0 seconds'), ('AR - Created - specialisation', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 28.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 26.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 16.0 seconds'), ('AR - Reviewed - previous or current study', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds'), ('AR - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 1.0 seconds')]",1703390,23847469.0
16,8,38 days 19 hours 15 minutes 11 seconds,26.0 days 21.0 hours 39.0 minutes 26.5 seconds,100.0%,"[('AR - Satisfied - previous or current study', 11), ('Assessment Decision - Qualified', 10), ('AR - Created - Other', 9), ('Submit', 8), ('AR - Satisfied - Other', 8), ('Send for Assessment', 8)]","[('OC - Created - Other', '4.0 days 23.0 hours 26.0 minutes 33.0 seconds'), ('Put Triage On-Hold', '26.0 days 21.0 hours 35.0 minutes 33.0 seconds'), ('Submit', '13.0 days 5.0 hours 0.0 minutes 56.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 13.0 hours 9.0 minutes 53.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 6.0 minutes 5.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 5.0 minutes 55.0 seconds'), ('OC - Satisfied - Other', '0.0 days 0.0 hours 4.0 minutes 12.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 3.0 minutes 58.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 3.0 minutes 23.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 3.0 minutes 0.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 14.0 minutes 19.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 1.0 minutes 6.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 1.0 minutes 57.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 1.0 minutes 50.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 1.0 minutes 21.0 seconds'), ('AR - Satisfied - guaranteed entry', '0.0 days 0.0 hours 0.0 minutes 56.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 0.0 minutes 40.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 37.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 0.0 minutes 35.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 24.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 0.0 minutes 11.0 seconds')]",3352511,26820092.0
17,8,36 days 3 hours 13 minutes 29 seconds,39.0 days 8.0 hours 6.0 minutes 2.0 seconds,100.0%,"[('AR - Satisfied - previous or current study', 12), ('AR - Satisfied - Other', 12), ('AR - Created - Other', 11), ('AR - Created - further information', 9), ('Submit', 8), ('Put Triage On-Hold', 8)]","[('AR - Created - applicant demographics', '7.0 days 21.0 hours 19.0 minutes 11.0 seconds'), ('AR - Satisfied - applicant demographics', '28.0 days 6.0 hours 54.0 minutes 44.0 seconds'), ('AR - Satisfied - previous or current study', '2.0 days 10.0 hours 35.0 minutes 37.0 seconds'), ('Submit', '12.0 days 22.0 hours 55.0 minutes 43.0 seconds'), ('Put Triage On-Hold', '11.0 days 12.0 hours 26.0 minutes 12.0 seconds'), ('AR - Satisfied - Other', '1.0 days 15.0 hours 52.0 minutes 26.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 3.0 hours 8.0 minutes 33.0 seconds'), ('AR - Reviewed - GAM', '0.0 days 0.0 hours 6.0 minutes 5.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 3.0 minutes 57.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 2.0 minutes 29.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 10.0 minutes 26.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 0.0 minutes 43.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 0.0 minutes 41.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 0.0 minutes 36.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 0.0 minutes 35.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 27.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 0.0 minutes 23.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 22.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 20.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds')]",3122009,24976073.0
18,3,26 days 16 hours 30 minutes 15 seconds,14.0 days 15.0 hours 47.0 minutes 32.0 seconds,100.0%,"[('AR - Satisfied - previous or current study', 4), ('AR - Created - further information', 4), ('Put Triage On-Hold', 4), ('Release Triage Hold', 4), ('Submit', 3), ('AR - Satisfied - application details', 3)]","[('Submit', '8.0 days 15.0 hours 31.0 minutes 59.0 seconds'), ('Put Triage On-Hold', '10.0 days 3.0 hours 58.0 minutes 6.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 6.0 minutes 27.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 4.0 minutes 22.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 2.0 minutes 8.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 2.0 minutes 55.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 2.0 minutes 45.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 2.0 minutes 37.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 1.0 minutes 9.0 seconds'), ('OC - Satisfied - Other', '0.0 days 0.0 hours 1.0 minutes 7.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 1.0 minutes 43.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 1.0 minutes 12.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 1.0 minutes 11.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 42.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 39.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 33.0 seconds'), ('AR - Created - specialisation', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 3.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 0.0 minutes 19.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds')]",2305815,6917445.0
19,2,74 days 1 hours 49 minutes 23 seconds,74.0 days 1.0 hours 49.0 minutes 23.0 seconds,100.0%,"[('AR - Satisfied - previous or current study', 4), ('Assessment Decision - Qualified', 4), ('Put Triage On-Hold', 3), ('Release Triage Hold', 3), ('Submit', 2), ('AR - Satisfied - syllabus', 2)]","[('AR - Satisfied - specialisation', '5.0 days 23.0 hours 56.0 minutes 49.0 seconds'), ('Submit', '27.0 days 10.0 hours 11.0 minutes 52.0 seconds'), ('Put Triage On-Hold', '11.0 days 15.0 hours 51.0 minutes 20.0 seconds'), ('AR - Created - Other', '11.0 days 11.0 hours 19.0 minutes 47.0 seconds'), ('AR - Satisfied - syllabus', '11.0 days 10.0 hours 15.0 minutes 32.0 seconds'), ('AR - Satisfied - Other', '0.0 days 5.0 hours 8.0 minutes 41.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 7.0 minutes 6.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 7.0 minutes 36.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 6.0 minutes 42.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 5.0 minutes 48.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 2.0 minutes 43.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 1.0 minutes 44.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 1.0 minutes 40.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 0.0 minutes 45.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds')]",6400163,12800326.0
20,3,39 days 7 hours 39 minutes 51 seconds,25.0 days 20.0 hours 23.0 minutes 8.0 seconds,100.0%,"[('AR - Created - further information', 6), ('AR - Satisfied - further information', 6), ('AR - Satisfied - previous or current study', 4), ('Assessment Decision - No Decision', 4), ('AR - Created - Other', 4), ('Submit', 3)]","[('AR - Created - Other', '6.0 days 5.0 hours 4.0 minutes 14.0 seconds'), ('Submit', '12.0 days 9.0 hours 55.0 minutes 51.0 seconds'), ('Put Triage On-Hold', '12.0 days 15.0 hours 11.0 minutes 3.0 seconds'), ('AR - Satisfied - syllabus', '1.0 days 14.0 hours 47.0 minutes 14.0 seconds'), ('AR - Created - further information', '0.0 days 3.0 hours 41.0 minutes 14.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 6.0 minutes 52.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 6.0 minutes 47.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 6.0 minutes 29.0 seconds'), ('OC - Satisfied - Other', '0.0 days 0.0 hours 44.0 minutes 24.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 1.0 minutes 43.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 1.0 minutes 35.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 1.0 minutes 13.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 0.0 minutes 47.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 38.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 33.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 27.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 25.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 23.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 0.0 minutes 18.0 seconds')]",3397191,10191575.0
