Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,Num of Occurrences per step(descending),Average time spends per step(descending),average time for workflow segment(seconds),sum time for workflow segment(seconds)
11,27,54 days 2 hours 20 minutes 17 seconds,31.0 days 0.0 hours 14.0 minutes 11.0 seconds,92.59%,"[('Assessment Decision - Qualified', 78), ('Assessment Decision - No Decision', 42), ('Send for Assessment', 33), ('Put Assessment On-Hold', 23), ('Release Assessment Hold', 23), ('Assessment Outcome - Successful', 22)]","[('End My Assessment', '8.0 days 0.0 hours 53.0 minutes 43.0 seconds'), ('Send for Assessment', '6.0 days 20.0 hours 32.0 minutes 5.0 seconds'), ('Put Assessment On-Hold', '6.0 days 10.0 hours 32.0 minutes 2.0 seconds'), ('AR - Satisfied - advanced standing', '47.0 days 18.0 hours 14.0 minutes 23.0 seconds'), ('AR - Created - further information', '3.0 days 7.0 hours 28.0 minutes 25.0 seconds'), ('AR - Satisfied - ELR', '3.0 days 12.0 hours 2.0 minutes 35.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '21.0 days 22.0 hours 9.0 minutes 31.0 seconds'), ('Put Triage On-Hold', '2.0 days 7.0 hours 22.0 minutes 0.0 seconds'), ('AR - Created - Other', '2.0 days 4.0 hours 27.0 minutes 51.0 seconds'), ('AR - Satisfied - Other', '15.0 days 13.0 hours 44.0 minutes 18.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '10.0 days 8.0 hours 35.0 minutes 20.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 19.0 hours 12.0 minutes 51.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '1.0 days 11.0 hours 27.0 minutes 59.0 seconds'), ('AR - Reviewed - application details', '1.0 days 1.0 hours 9.0 minutes 34.0 seconds'), ('Back to Triage', '0.0 days 8.0 hours 30.0 minutes 30.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 23.0 hours 53.0 minutes 37.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 16.0 hours 52.0 minutes 20.0 seconds'), ('Release Assessment Hold', '0.0 days 1.0 hours 9.0 minutes 45.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 4.0 minutes 16.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 33.0 minutes 38.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 1.0 minutes 5.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 50.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 44.0 seconds')]",4674017,126198479.0
12,10,40 days 20 hours 33 minutes 1 seconds,21.0 days 3.0 hours 29.0 minutes 3.5 seconds,90.0%,"[('Assessment Decision - Qualified', 27), ('Assessment Decision - No Decision', 16), ('Send for Assessment', 12), ('Put Assessment On-Hold', 8), ('Release Assessment Hold', 8), ('Assessment Outcome - Successful', 8)]","[('End My Assessment', '9.0 days 3.0 hours 53.0 minutes 40.0 seconds'), ('AR - Satisfied - previous or current study', '7.0 days 17.0 hours 26.0 minutes 15.0 seconds'), ('AR - Created - personal statement/expression of interest', '4.0 days 23.0 hours 35.0 minutes 11.0 seconds'), ('Back to Triage', '4.0 days 12.0 hours 26.0 minutes 9.0 seconds'), ('Assessment Decision - No Decision', '3.0 days 13.0 hours 32.0 minutes 28.0 seconds'), ('Put Assessment On-Hold', '3.0 days 0.0 hours 42.0 minutes 53.0 seconds'), ('AR - Satisfied - GAM', '3.0 days 0.0 hours 29.0 minutes 13.0 seconds'), ('Send for Assessment', '2.0 days 11.0 hours 2.0 minutes 8.0 seconds'), ('Put Triage On-Hold', '19.0 days 6.0 hours 55.0 minutes 58.0 seconds'), ('AR - Created - further information', '1.0 days 2.0 hours 6.0 minutes 28.0 seconds'), ('Release Assessment Hold', '1.0 days 0.0 hours 41.0 minutes 16.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '0.0 days 4.0 hours 53.0 minutes 2.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 4.0 hours 50.0 minutes 19.0 seconds'), ('OC - Created - Other', '0.0 days 4.0 hours 43.0 minutes 40.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 12.0 hours 5.0 minutes 3.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 6.0 minutes 5.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 5.0 minutes 37.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '0.0 days 0.0 hours 3.0 minutes 20.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 3.0 minutes 18.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 1.0 minutes 15.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 19.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 0.0 minutes 18.0 seconds')]",3529981,35299811.0
13,19,64 days 15 hours 47 minutes 33 seconds,41.0 days 18.0 hours 54.0 minutes 1.0 seconds,89.47%,"[('Assessment Decision - Qualified', 55), ('Assessment Decision - No Decision', 43), ('Send for Assessment', 25), ('Put Assessment On-Hold', 20), ('Release Assessment Hold', 17), ('Assessment Outcome - Successful', 13)]","[('AR - Satisfied - previous or current study', '5.0 days 22.0 hours 34.0 minutes 46.0 seconds'), ('AR - Created - Other', '4.0 days 10.0 hours 17.0 minutes 40.0 seconds'), ('Send for Assessment', '3.0 days 9.0 hours 52.0 minutes 13.0 seconds'), ('Acacdemic - Assessment Decision - No Decision', '3.0 days 21.0 hours 30.0 minutes 29.0 seconds'), ('Back to Triage', '3.0 days 17.0 hours 40.0 minutes 25.0 seconds'), ('Release Assessment Hold', '3.0 days 10.0 hours 37.0 minutes 5.0 seconds'), ('Put Assessment On-Hold', '3.0 days 10.0 hours 29.0 minutes 3.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '2.0 days 8.0 hours 18.0 minutes 23.0 seconds'), ('AR - Satisfied - advanced standing', '2.0 days 22.0 hours 7.0 minutes 54.0 seconds'), ('OC - Created - Other', '12.0 days 0.0 hours 39.0 minutes 39.0 seconds'), ('Assessment Decision - System Assessed', '11.0 days 5.0 hours 35.0 minutes 31.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '11.0 days 2.0 hours 24.0 minutes 31.0 seconds'), ('Put Triage On-Hold', '10.0 days 17.0 hours 35.0 minutes 34.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 5.0 hours 30.0 minutes 50.0 seconds'), ('Assessment Decision - Qualified', '1.0 days 15.0 hours 9.0 minutes 48.0 seconds'), ('End My Assessment', '0.0 days 7.0 hours 49.0 minutes 49.0 seconds'), ('AR - Created - GAM', '0.0 days 0.0 hours 9.0 minutes 28.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 9.0 minutes 24.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 6.0 minutes 11.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 39.0 minutes 17.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '0.0 days 0.0 hours 1.0 minutes 32.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 1.0 minutes 15.0 seconds'), ('AR - Requested - Other', '0.0 days 0.0 hours 1.0 minutes 14.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds'), ('OC - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 59.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 41.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 37.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 0.0 minutes 24.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 11.0 seconds')]",5586453,106142622.0
14,8,50 days 7 hours 14 minutes 54 seconds,35.0 days 10.0 hours 49.0 minutes 17.5 seconds,87.5%,"[('Assessment Decision - Qualified', 25), ('Send for Assessment', 11), ('Put Assessment On-Hold', 8), ('Release Assessment Hold', 8), ('AR - Satisfied - previous or current study', 6), ('OC - Created - Other', 5)]","[('Release Assessment Hold', '3.0 days 9.0 hours 33.0 minutes 37.0 seconds'), ('AR - Requested - further information', '26.0 days 21.0 hours 39.0 minutes 3.0 seconds'), ('Send for Assessment', '2.0 days 23.0 hours 26.0 minutes 12.0 seconds'), ('Put Triage On-Hold', '11.0 days 0.0 hours 39.0 minutes 20.0 seconds'), ('Put Assessment On-Hold', '10.0 days 11.0 hours 33.0 minutes 27.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 23.0 hours 26.0 minutes 7.0 seconds'), ('Back to Triage', '1.0 days 11.0 hours 42.0 minutes 52.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 4.0 hours 12.0 minutes 28.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 3.0 hours 30.0 minutes 30.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '0.0 days 20.0 hours 58.0 minutes 10.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '0.0 days 13.0 hours 17.0 minutes 11.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 9.0 minutes 21.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 4.0 minutes 57.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 4.0 minutes 56.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 2.0 minutes 8.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 2.0 minutes 5.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 2.0 minutes 17.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 10.0 minutes 10.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 1.0 minutes 8.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 1.0 minutes 58.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 42.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 25.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds')]",4346094,34768753.0
15,8,24 days 0 hours 26 minutes 21 seconds,20.0 days 15.0 hours 41.0 minutes 53.0 seconds,87.5%,"[('Assessment Decision - No Decision', 17), ('Assessment Decision - Qualified', 17), ('Send for Assessment', 16), ('Back to Triage', 8), ('Put Assessment On-Hold', 7), ('Release Assessment Hold', 7)]","[('Put Triage On-Hold', '7.0 days 9.0 hours 40.0 minutes 34.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '7.0 days 22.0 hours 36.0 minutes 31.0 seconds'), ('AR - Satisfied - syllabus', '3.0 days 22.0 hours 31.0 minutes 25.0 seconds'), ('Put Assessment On-Hold', '2.0 days 9.0 hours 59.0 minutes 18.0 seconds'), ('End My Assessment', '11.0 days 16.0 hours 57.0 minutes 4.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 8.0 hours 25.0 minutes 36.0 seconds'), ('Send for Assessment', '1.0 days 5.0 hours 46.0 minutes 11.0 seconds'), ('AR - Satisfied - advanced standing', '1.0 days 13.0 hours 46.0 minutes 34.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 5.0 hours 27.0 minutes 52.0 seconds'), ('Back to Triage', '0.0 days 23.0 hours 36.0 minutes 59.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '0.0 days 12.0 hours 50.0 minutes 34.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 11.0 hours 3.0 minutes 14.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 1.0 hours 11.0 minutes 25.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 2.0 minutes 54.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 2.0 minutes 35.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 0.0 minutes 58.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 0.0 minutes 55.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '0.0 days 0.0 hours 0.0 minutes 46.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 38.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 29.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 0.0 minutes 23.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('AR - Reviewed - advanced standing', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds')]",2075181,16601454.0
16,4,111 days 19 hours 39 minutes 35 seconds,83.0 days 21.0 hours 58.0 minutes 32.0 seconds,50.0%,"[('Send for Assessment', 9), ('Back to Triage', 6), ('Put Triage On-Hold', 4), ('Assessment Decision - Qualified', 4), ('AR - Created - further information', 3), ('AR - Satisfied - Other', 3)]","[('AR - Satisfied - Other', '6.0 days 23.0 hours 40.0 minutes 19.0 seconds'), ('Assessment Decision - No Decision', '4.0 days 23.0 hours 56.0 minutes 6.0 seconds'), ('AR - Created - further information', '4.0 days 23.0 hours 45.0 minutes 27.0 seconds'), ('Put Assessment On-Hold', '257.0 days 2.0 hours 42.0 minutes 22.0 seconds'), ('Put Triage On-Hold', '2.0 days 10.0 hours 10.0 minutes 56.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '103.0 days 1.0 hours 37.0 minutes 45.0 seconds'), ('Send for Assessment', '1.0 days 16.0 hours 19.0 minutes 29.0 seconds'), ('Release Assessment Hold', '0.0 days 21.0 hours 50.0 minutes 44.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 10.0 hours 32.0 minutes 28.0 seconds'), ('Back to Triage', '0.0 days 1.0 hours 57.0 minutes 26.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 6.0 minutes 20.0 seconds'), ('AR - Requested - applicant demographics', '0.0 days 0.0 hours 4.0 minutes 27.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 22.0 minutes 29.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 2.0 minutes 37.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 1.0 minutes 30.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 1.0 minutes 24.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 1.0 minutes 14.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 0.0 minutes 35.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 28.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 0.0 minutes 24.0 seconds'), ('AR - Created - specialisation', '0.0 days 0.0 hours 0.0 minutes 22.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 16.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds')]",9661175,38644701.0
17,1,74 days 23 hours 34 minutes 43 seconds,74.0 days 23.0 hours 34.0 minutes 43.0 seconds,100.0%,"[('Send for Assessment', 2), ('AR - Created - further information', 2), ('AR - Satisfied - further information', 2), ('Acacdemic - Assessment Decision - No Decision', 1), ('Back to Triage', 1), ('Put Triage On-Hold', 1)]","[('Acacdemic - Assessment Decision - No Decision', '5.0 days 17.0 hours 45.0 minutes 25.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '3.0 days 22.0 hours 42.0 minutes 18.0 seconds'), ('Put Triage On-Hold', '12.0 days 20.0 hours 7.0 minutes 37.0 seconds'), ('AR - Created - further information', '1.0 days 2.0 hours 33.0 minutes 17.0 seconds'), ('Back to Triage', '0.0 days 6.0 hours 53.0 minutes 48.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 2.0 hours 12.0 minutes 4.0 seconds'), ('Send for Assessment', '0.0 days 11.0 hours 24.0 minutes 1.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 1.0 minutes 32.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 1.0 minutes 32.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 1.0 minutes 14.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 0.0 minutes 43.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 33.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]",6478483,6478483.0
18,1,82 days 18 hours 30 minutes 54 seconds,82.0 days 18.0 hours 30.0 minutes 54.0 seconds,100.0%,"[('Assessment Decision - Qualified', 6), ('Send for Assessment', 2), ('End My Assessment', 1), ('Back to Triage', 1), ('Put Triage On-Hold', 1), ('AR - Satisfied - entry points', 1)]","[('Acacdemic - Assessment Decision - Not Qualified', '6.0 days 18.0 hours 22.0 minutes 46.0 seconds'), ('Put Triage On-Hold', '52.0 days 22.0 hours 25.0 minutes 49.0 seconds'), ('End My Assessment', '4.0 days 0.0 hours 49.0 minutes 19.0 seconds'), ('AR - Satisfied - entry points', '3.0 days 0.0 hours 47.0 minutes 55.0 seconds'), ('Send for Assessment', '1.0 days 7.0 hours 49.0 minutes 11.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 7.0 hours 8.0 minutes 58.0 seconds'), ('Back to Triage', '0.0 days 2.0 hours 13.0 minutes 1.0 seconds'), ('Acacdemic - Assessment Decision - No Decision', '0.0 days 16.0 hours 38.0 minutes 25.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 13.0 hours 18.0 minutes 25.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]",7151454,7151454.0
19,2,13 days 23 hours 33 minutes 24 seconds,13.0 days 23.0 hours 33.0 minutes 24.0 seconds,100.0%,"[('Send for Assessment', 5), ('Assessment Decision - No Decision', 3), ('Back to Triage', 3), ('Assessment Decision - Qualified', 3), ('AR - Created - further information', 2), ('Put Triage On-Hold', 2)]","[('Assessment Decision - Not Assessed', '3.0 days 10.0 hours 1.0 minutes 29.0 seconds'), ('Put Assessment On-Hold', '2.0 days 4.0 hours 52.0 minutes 59.0 seconds'), ('AR - Created - further information', '1.0 days 23.0 hours 15.0 minutes 8.0 seconds'), ('Put Triage On-Hold', '1.0 days 13.0 hours 53.0 minutes 11.0 seconds'), ('Send for Assessment', '0.0 days 18.0 hours 3.0 minutes 48.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 11.0 hours 3.0 minutes 14.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 8.0 minutes 4.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 50.0 minutes 51.0 seconds'), ('Back to Triage', '0.0 days 0.0 hours 47.0 minutes 1.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 3.0 minutes 59.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 2.0 minutes 36.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 1.0 minutes 21.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 1.0 minutes 19.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 0.0 minutes 58.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 29.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 0.0 minutes 11.0 seconds')]",1208004,2416008.0
20,1,37 days 22 hours 48 minutes 54 seconds,37.0 days 22.0 hours 48.0 minutes 54.0 seconds,100.0%,"[('Assessment Decision - Qualified', 3), ('Send for Assessment', 2), ('AR - Created - further information', 2), ('OC - Created - Other', 2), ('AR - Satisfied - further information', 2), ('AR - Created - Other', 1)]","[('AR - Created - further information', '7.0 days 11.0 hours 37.0 minutes 41.0 seconds'), ('AR - Satisfied - Other', '20.0 days 22.0 hours 59.0 minutes 32.0 seconds'), ('Send for Assessment', '0.0 days 22.0 hours 40.0 minutes 17.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 7.0 minutes 27.0 seconds'), ('Put Triage On-Hold', '0.0 days 0.0 hours 48.0 minutes 0.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 2.0 minutes 16.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 0.0 minutes 52.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 0.0 minutes 44.0 seconds'), ('Back to Triage', '0.0 days 0.0 hours 0.0 minutes 39.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 29.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 0.0 minutes 21.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]",3278934,3278934.0
21,2,85 days 8 hours 43 minutes 36 seconds,85.0 days 8.0 hours 43.0 minutes 36.5 seconds,100.0%,"[('Assessment Decision - Qualified', 13), ('Assessment Decision - No Decision', 10), ('Put Assessment On-Hold', 4), ('Acacdemic - Assessment Decision - No Decision', 3), ('Release Assessment Hold', 3), ('Send for Assessment', 2)]","[('Acacdemic - Assessment Decision - No Decision', '5.0 days 6.0 hours 44.0 minutes 32.0 seconds'), ('Put Assessment On-Hold', '3.0 days 5.0 hours 29.0 minutes 52.0 seconds'), ('AR - Satisfied - previous or current study', '3.0 days 0.0 hours 2.0 minutes 13.0 seconds'), ('Release Assessment Hold', '2.0 days 6.0 hours 58.0 minutes 2.0 seconds'), ('AR - Satisfied - Other', '0.0 days 19.0 hours 42.0 minutes 8.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 14.0 hours 37.0 minutes 58.0 seconds'), ('Send for Assessment', '0.0 days 0.0 hours 26.0 minutes 42.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 11.0 minutes 53.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds')]",7375416,14750833.0
33,1,114 days 2 hours 26 minutes 34 seconds,114.0 days 2.0 hours 26.0 minutes 34.0 seconds,100.0%,"[('Send for Assessment', 5), ('Assessment Decision - No Decision', 4), ('Back to Triage', 4), ('Put Triage On-Hold', 4), ('Release Triage Hold', 4), ('Assessment Decision - Qualified', 2)]","[('Assessment Decision - No Decision', '6.0 days 3.0 hours 4.0 minutes 31.0 seconds'), ('AR - Satisfied - previous or current study', '2.0 days 2.0 hours 3.0 minutes 14.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '17.0 days 15.0 hours 32.0 minutes 31.0 seconds'), ('Back to Triage', '1.0 days 5.0 hours 11.0 minutes 23.0 seconds'), ('Put Triage On-Hold', '1.0 days 19.0 hours 10.0 minutes 29.0 seconds'), ('Put Assessment On-Hold', '0.0 days 19.0 hours 11.0 minutes 57.0 seconds'), ('Send for Assessment', '0.0 days 14.0 hours 3.0 minutes 40.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 5.0 minutes 19.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 4.0 minutes 35.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 2.0 minutes 39.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 19.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]",9858394,9858394.0
